Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7	F2	F3	F4
19:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	2	8	11	9	5	17	34	20	35	54	41	-2	0	2
19:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	10	12	4	21	11	31	17	22	33	29	42	2	-4	1
20:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-6	-13	-3	-6	-3	8	18	15	9	21	26	37	-4	1	4
20:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-4	-4	-1	-4	17	11	28	15	26	34	42	46	-3	-4	7
20:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	15	10	19	16	22	17	40	23	31	36	44	43	-4	4	1
20:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	2	-7	7	7	10	6	38	22	14	25	37	35	1	5	-5
20:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	15	1	12	-4	3	9	22	17	14	27	34	40	8	3	-11
20:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	-14	-3	10	15	11	19	19	17	22	37	42	9	-6	-3
21:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-3	2	0	6	20	3	29	20	27	40	37	44	-8	8	0
21:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	11	-3	0	-10	28	14	23	28	19	43	42	48	-2	4	-3
21:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	1	5	-6	8	0	28	17	17	33	34	28	-3	6	-4
21:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	5	7	5	-12	10	10	30	16	23	41	49	25	-3	-4	7
21:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	-3	16	13	0	10	30	21	10	27	29	48	-3	-3	6
21:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	3	-3	12	-5	19	6	27	20	25	41	39	38	-4	5	0
22:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-13	-5	-3	-5	-12	6	12	19	10	26	28	38	-4	4	-1
22:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	7	20	4	4	18	14	32	33	30	41	49	44	-2	6	-3
22:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-4	1	11	11	12	18	6	13	17	31	38	28	-1	-6	6
22:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-16	0	-1	-13	10	9	16	21	9	34	49	40	-7	8	-2
22:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	5	9	5	8	4	33	34	34	31	34	34	40	9	-12	4
22:58:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-2	8	10	5	12	18	19	19	28	39	53	46	-1	0	1
23:08:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-11	1	-8	1	9	4	13	23	17	31	25	42	-5	3	1
23:18:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-7	10	-9	8	14	8	18	32	14	26	26	24	-6	7	-2
23:28:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	4	6	-3	2	17	13	16	10	25	39	32	34	3	-7	3
23:38:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-11	0	0	2	8	7	20	28	6	36	35	26	-3	11	-8
23:48:17	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	-11	0	-3	-1	8	9	16	17	10	34	40	33	-3	-5	7
